cycle,branch,state,forecastdate,candidate,win_prob_lite,win_prob_classic,win_prob_deluxe
2018,Governor,AK,11/6/2018,Mike Dunleavy,0.6672,0.689,0.7147
2018,Governor,AK,11/5/2018,Mike Dunleavy,0.6663,0.6884,0.7142
2018,Governor,AK,11/4/2018,Mike Dunleavy,0.6602,0.6901,0.715
2018,Governor,AK,11/3/2018,Mike Dunleavy,0.6652,0.6933,0.7173
2018,Governor,AK,11/2/2018,Mike Dunleavy,0.6679,0.6711,0.7014
2018,Governor,AK,11/1/2018,Mike Dunleavy,0.665,0.669,0.6993
2018,Governor,AK,10/31/2018,Mike Dunleavy,0.6597,0.6599,0.6923
2018,Governor,AK,10/30/2018,Mike Dunleavy,0.6629,0.6623,0.6938
2018,Governor,AK,10/29/2018,Mike Dunleavy,0.6573,0.6567,0.6876
2018,Governor,AK,10/28/2018,Mike Dunleavy,0.6632,0.6614,0.6922
2018,Governor,AK,10/27/2018,Mike Dunleavy,0.6695,0.6644,0.6947
2018,Governor,AK,10/26/2018,Mike Dunleavy,0.6671,0.663,0.6921
2018,Governor,AK,10/25/2018,Mike Dunleavy,0.6678,0.6641,0.6919
2018,Governor,AK,10/24/2018,Mike Dunleavy,0.6656,0.6603,0.6865
2018,Governor,AK,10/23/2018,Mike Dunleavy,0.6599,0.6541,0.6823
2018,Governor,AK,10/22/2018,Mike Dunleavy,0.6555,0.6475,0.6741
2018,Governor,AK,10/21/2018,Mike Dunleavy,0.6693,0.6567,0.6841
2018,Governor,AK,10/20/2018,Mike Dunleavy,0.6735,0.6585,0.6862
2018,Governor,AK,10/19/2018,Mike Dunleavy,0.6797,0.666,0.7154
2018,Governor,AK,10/18/2018,Mike Dunleavy,0.9324,0.8315,0.7984
2018,Governor,AK,10/17/2018,Mike Dunleavy,0.9305,0.8321,0.7989
2018,Governor,AK,10/16/2018,Mike Dunleavy,0.9311,0.8302,0.7973
2018,Governor,AK,10/13/2018,Mike Dunleavy,0.9219,0.8262,0.797
2018,Governor,AK,10/12/2018,Mike Dunleavy,0.9228,0.829,0.7988
2018,Governor,AK,10/11/2018,Mike Dunleavy,0.7753,0.7413,0.7383
2018,Governor,AL,11/6/2018,Kay Ivey,0.9333,0.9831,0.9906
2018,Governor,AL,11/5/2018,Kay Ivey,0.933,0.9842,0.9908
2018,Governor,AL,11/4/2018,Kay Ivey,0.9327,0.9841,0.9902
2018,Governor,AL,11/3/2018,Kay Ivey,0.9349,0.9835,0.9902
2018,Governor,AL,11/2/2018,Kay Ivey,0.9365,0.9896,0.9935
2018,Governor,AL,11/1/2018,Kay Ivey,0.9318,0.9883,0.9921
2018,Governor,AL,10/31/2018,Kay Ivey,0.9348,0.989,0.9929
2018,Governor,AL,10/30/2018,Kay Ivey,0.9322,0.9883,0.9927
2018,Governor,AL,10/29/2018,Kay Ivey,0.9344,0.9875,0.9916
2018,Governor,AL,10/28/2018,Kay Ivey,0.9352,0.9886,0.9924
2018,Governor,AL,10/27/2018,Kay Ivey,0.9381,0.9881,0.9924
2018,Governor,AL,10/26/2018,Kay Ivey,0.9364,0.9885,0.9922
2018,Governor,AL,10/25/2018,Kay Ivey,0.9362,0.9882,0.9923
2018,Governor,AL,10/24/2018,Kay Ivey,0.9358,0.9884,0.9921
2018,Governor,AL,10/23/2018,Kay Ivey,0.9327,0.9862,0.9909
2018,Governor,AL,10/22/2018,Kay Ivey,0.9308,0.9862,0.9912
2018,Governor,AL,10/21/2018,Kay Ivey,0.9377,0.9875,0.9919
2018,Governor,AL,10/20/2018,Kay Ivey,0.9403,0.9878,0.9922
2018,Governor,AL,10/19/2018,Kay Ivey,0.9394,0.9867,0.9914
2018,Governor,AL,10/18/2018,Kay Ivey,0.9402,0.987,0.9916
2018,Governor,AL,10/17/2018,Kay Ivey,0.9383,0.9861,0.9909
2018,Governor,AL,10/16/2018,Kay Ivey,0.9361,0.9868,0.9912
2018,Governor,AL,10/13/2018,Kay Ivey,0.9375,0.9878,0.9921
2018,Governor,AL,10/12/2018,Kay Ivey,0.9347,0.987,0.9915
2018,Governor,AL,10/11/2018,Kay Ivey,0.9311,0.9866,0.9911
2018,Governor,AR,11/6/2018,Asa Hutchinson,0.999,0.9994,0.9996
2018,Governor,AR,11/5/2018,Asa Hutchinson,0.9989,0.9993,0.9996
2018,Governor,AR,11/4/2018,Asa Hutchinson,0.9984,0.9991,0.9993
2018,Governor,AR,11/3/2018,Asa Hutchinson,0.9987,0.9993,0.9994
2018,Governor,AR,11/2/2018,Asa Hutchinson,0.9985,0.9991,0.9993
2018,Governor,AR,11/1/2018,Asa Hutchinson,0.9989,0.9993,0.9995
2018,Governor,AR,10/31/2018,Asa Hutchinson,0.9911,0.9982,0.9986
2018,Governor,AR,10/30/2018,Asa Hutchinson,0.9906,0.9982,0.9985
2018,Governor,AR,10/29/2018,Asa Hutchinson,0.9899,0.9979,0.9985
2018,Governor,AR,10/28/2018,Asa Hutchinson,0.9909,0.9982,0.9987
2018,Governor,AR,10/27/2018,Asa Hutchinson,0.9906,0.9982,0.9984
2018,Governor,AR,10/26/2018,Asa Hutchinson,0.9911,0.9982,0.9985
2018,Governor,AR,10/25/2018,Asa Hutchinson,0.9901,0.9977,0.9982
2018,Governor,AR,10/24/2018,Asa Hutchinson,0.9908,0.9981,0.9985
2018,Governor,AR,10/23/2018,Asa Hutchinson,0.9903,0.9978,0.9982
2018,Governor,AR,10/22/2018,Asa Hutchinson,0.9904,0.998,0.9983
2018,Governor,AR,10/21/2018,Asa Hutchinson,0.9989,0.999,0.9991
2018,Governor,AR,10/20/2018,Asa Hutchinson,0.9986,0.9987,0.999
2018,Governor,AR,10/19/2018,Asa Hutchinson,0.9988,0.9988,0.9991
2018,Governor,AR,10/18/2018,Asa Hutchinson,0.9987,0.9989,0.999
2018,Governor,AR,10/17/2018,Asa Hutchinson,0.9992,0.9992,0.9994
2018,Governor,AR,10/16/2018,Asa Hutchinson,0.999,0.9991,0.9993
2018,Governor,AR,10/13/2018,Asa Hutchinson,0.999,0.999,0.9994
2018,Governor,AR,10/12/2018,Asa Hutchinson,0.999,0.9992,0.9994
2018,Governor,AR,10/11/2018,Asa Hutchinson,0.9989,0.999,0.9992
2018,Governor,AZ,11/6/2018,Doug Ducey,0.9922,0.9872,0.9857
2018,Governor,AZ,11/5/2018,Doug Ducey,0.9928,0.9872,0.9857
2018,Governor,AZ,11/4/2018,Doug Ducey,0.9886,0.9852,0.9835
2018,Governor,AZ,11/3/2018,Doug Ducey,0.9874,0.9835,0.9818
2018,Governor,AZ,11/2/2018,Doug Ducey,0.9907,0.9827,0.9814
2018,Governor,AZ,11/1/2018,Doug Ducey,0.9899,0.9831,0.9804
2018,Governor,AZ,10/31/2018,Doug Ducey,0.9849,0.9779,0.9767
2018,Governor,AZ,10/30/2018,Doug Ducey,0.9681,0.9667,0.9672
2018,Governor,AZ,10/29/2018,Doug Ducey,0.9572,0.9604,0.962
2018,Governor,AZ,10/28/2018,Doug Ducey,0.9414,0.9505,0.9559
2018,Governor,AZ,10/27/2018,Doug Ducey,0.958,0.9523,0.9587
2018,Governor,AZ,10/26/2018,Doug Ducey,0.9557,0.9507,0.9566
2018,Governor,AZ,10/25/2018,Doug Ducey,0.9561,0.9506,0.9563
2018,Governor,AZ,10/24/2018,Doug Ducey,0.9558,0.9499,0.9555
2018,Governor,AZ,10/23/2018,Doug Ducey,0.9535,0.9481,0.9541
2018,Governor,AZ,10/22/2018,Doug Ducey,0.9521,0.9454,0.9515
2018,Governor,AZ,10/21/2018,Doug Ducey,0.9523,0.9473,0.9529
2018,Governor,AZ,10/20/2018,Doug Ducey,0.9531,0.9486,0.9543
2018,Governor,AZ,10/19/2018,Doug Ducey,0.9521,0.9457,0.952
2018,Governor,AZ,10/18/2018,Doug Ducey,0.9523,0.9471,0.9528
2018,Governor,AZ,10/17/2018,Doug Ducey,0.9537,0.947,0.9528
2018,Governor,AZ,10/16/2018,Doug Ducey,0.9515,0.9469,0.9525
2018,Governor,AZ,10/13/2018,Doug Ducey,0.9611,0.9534,0.9574
2018,Governor,AZ,10/12/2018,Doug Ducey,0.9584,0.9508,0.955
2018,Governor,AZ,10/11/2018,Doug Ducey,0.9624,0.9549,0.9489
2018,Governor,CA,11/6/2018,John Cox,0.0062,0.0121,0.0064
2018,Governor,CA,11/5/2018,John Cox,0.0067,0.0126,0.0065
2018,Governor,CA,11/4/2018,John Cox,0.0062,0.0082,0.0042
2018,Governor,CA,11/3/2018,John Cox,0.0063,0.0092,0.0047
2018,Governor,CA,11/2/2018,John Cox,0.0053,0.0088,0.0049
2018,Governor,CA,11/1/2018,John Cox,0.0086,0.011,0.0059
2018,Governor,CA,10/31/2018,John Cox,0.0079,0.0113,0.0058
2018,Governor,CA,10/30/2018,John Cox,0.0104,0.0115,0.0064
2018,Governor,CA,10/29/2018,John Cox,0.012,0.0144,0.0082
2018,Governor,CA,10/28/2018,John Cox,0.0121,0.0142,0.0074
2018,Governor,CA,10/27/2018,John Cox,0.0124,0.0146,0.0078
2018,Governor,CA,10/26/2018,John Cox,0.0128,0.0153,0.0081
2018,Governor,CA,10/25/2018,John Cox,0.0129,0.0159,0.0086
2018,Governor,CA,10/24/2018,John Cox,0.0116,0.0104,0.006
2018,Governor,CA,10/23/2018,John Cox,0.0121,0.0106,0.0059
2018,Governor,CA,10/22/2018,John Cox,0.0119,0.01,0.0059
2018,Governor,CA,10/21/2018,John Cox,0.0166,0.013,0.0072
2018,Governor,CA,10/20/2018,John Cox,0.0184,0.0145,0.0082
2018,Governor,CA,10/19/2018,John Cox,0.0187,0.0142,0.0079
2018,Governor,CA,10/18/2018,John Cox,0.0192,0.0149,0.0084
2018,Governor,CA,10/17/2018,John Cox,0.0183,0.0147,0.0087
2018,Governor,CA,10/16/2018,John Cox,0.0248,0.015,0.0082
2018,Governor,CA,10/13/2018,John Cox,0.0481,0.0197,0.0109
2018,Governor,CA,10/12/2018,John Cox,0.0473,0.0202,0.0115
2018,Governor,CA,10/11/2018,John Cox,0.0462,0.0206,0.0113
2018,Governor,CO,11/6/2018,Walker Stapleton,0.1125,0.0503,0.0747
2018,Governor,CO,11/5/2018,Walker Stapleton,0.1116,0.0495,0.0741
2018,Governor,CO,11/4/2018,Walker Stapleton,0.1171,0.0521,0.0766
2018,Governor,CO,11/3/2018,Walker Stapleton,0.1131,0.0509,0.0742
2018,Governor,CO,11/2/2018,Walker Stapleton,0.114,0.0624,0.0833
2018,Governor,CO,11/1/2018,Walker Stapleton,0.1126,0.061,0.0813
2018,Governor,CO,10/31/2018,Walker Stapleton,0.087,0.0418,0.0642
2018,Governor,CO,10/30/2018,Walker Stapleton,0.0859,0.0401,0.063
2018,Governor,CO,10/29/2018,Walker Stapleton,0.0825,0.0395,0.0616
2018,Governor,CO,10/28/2018,Walker Stapleton,0.0851,0.041,0.0639
2018,Governor,CO,10/27/2018,Walker Stapleton,0.0898,0.0446,0.0667
2018,Governor,CO,10/26/2018,Walker Stapleton,0.0873,0.0432,0.0644
2018,Governor,CO,10/25/2018,Walker Stapleton,0.0902,0.0442,0.0651
2018,Governor,CO,10/24/2018,Walker Stapleton,0.0914,0.0452,0.0662
2018,Governor,CO,10/23/2018,Walker Stapleton,0.0908,0.045,0.0647
2018,Governor,CO,10/22/2018,Walker Stapleton,0.0904,0.044,0.0635
2018,Governor,CO,10/21/2018,Walker Stapleton,0.1714,0.0782,0.0962
2018,Governor,CO,10/20/2018,Walker Stapleton,0.1752,0.0803,0.0991
2018,Governor,CO,10/19/2018,Walker Stapleton,0.1756,0.0837,0.1012
2018,Governor,CO,10/18/2018,Walker Stapleton,0.1769,0.0827,0.1016
2018,Governor,CO,10/17/2018,Walker Stapleton,0.1841,0.0872,0.1042
2018,Governor,CO,10/16/2018,Walker Stapleton,0.164,0.0816,0.0992
2018,Governor,CO,10/13/2018,Walker Stapleton,0.1752,0.0907,0.1075
2018,Governor,CO,10/12/2018,Walker Stapleton,0.1745,0.0907,0.1085
2018,Governor,CO,10/11/2018,Walker Stapleton,0.1756,0.0927,0.1094
2018,Governor,CT,11/6/2018,Bob Stefanowski,0.2213,0.21,0.2069
2018,Governor,CT,11/5/2018,Bob Stefanowski,0.2197,0.2083,0.2063
2018,Governor,CT,11/4/2018,Bob Stefanowski,0.223,0.2144,0.2097
2018,Governor,CT,11/3/2018,Bob Stefanowski,0.2188,0.2082,0.2043
2018,Governor,CT,11/2/2018,Bob Stefanowski,0.2203,0.2079,0.206
2018,Governor,CT,11/1/2018,Bob Stefanowski,0.282,0.2459,0.232
2018,Governor,CT,10/31/2018,Bob Stefanowski,0.2526,0.2195,0.2143
2018,Governor,CT,10/30/2018,Bob Stefanowski,0.319,0.2523,0.2374
2018,Governor,CT,10/29/2018,Bob Stefanowski,0.2357,0.1822,0.1918
2018,Governor,CT,10/28/2018,Bob Stefanowski,0.2369,0.1872,0.1962
2018,Governor,CT,10/27/2018,Bob Stefanowski,0.2387,0.1868,0.1961
2018,Governor,CT,10/26/2018,Bob Stefanowski,0.2318,0.1825,0.1902
2018,Governor,CT,10/25/2018,Bob Stefanowski,0.2323,0.1833,0.1906
2018,Governor,CT,10/24/2018,Bob Stefanowski,0.2324,0.1844,0.19
2018,Governor,CT,10/23/2018,Bob Stefanowski,0.2291,0.1794,0.1862
2018,Governor,CT,10/22/2018,Bob Stefanowski,0.2141,0.1686,0.1784
2018,Governor,CT,10/21/2018,Bob Stefanowski,0.2165,0.172,0.1793
2018,Governor,CT,10/20/2018,Bob Stefanowski,0.2202,0.1773,0.1849
2018,Governor,CT,10/19/2018,Bob Stefanowski,0.2217,0.1757,0.1834
2018,Governor,CT,10/18/2018,Bob Stefanowski,0.2211,0.178,0.186
2018,Governor,CT,10/17/2018,Bob Stefanowski,0.2231,0.1792,0.1848
2018,Governor,CT,10/16/2018,Bob Stefanowski,0.2331,0.1847,0.19
2018,Governor,CT,10/13/2018,Bob Stefanowski,0.1946,0.1457,0.1658
2018,Governor,CT,10/12/2018,Bob Stefanowski,0.1978,0.1489,0.1696
2018,Governor,CT,10/11/2018,Bob Stefanowski,0.1958,0.1479,0.1696
2018,Governor,FL,11/6/2018,Ron DeSantis,0.1872,0.2278,0.2217
2018,Governor,FL,11/5/2018,Ron DeSantis,0.1855,0.2281,0.2222
2018,Governor,FL,11/4/2018,Ron DeSantis,0.2037,0.2431,0.2781
2018,Governor,FL,11/3/2018,Ron DeSantis,0.1971,0.2372,0.2735
2018,Governor,FL,11/2/2018,Ron DeSantis,0.1945,0.2428,0.278
2018,Governor,FL,11/1/2018,Ron DeSantis,0.1955,0.2426,0.2764
2018,Governor,FL,10/31/2018,Ron DeSantis,0.1753,0.2257,0.2629
2018,Governor,FL,10/30/2018,Ron DeSantis,0.1746,0.2236,0.2622
2018,Governor,FL,10/29/2018,Ron DeSantis,0.1714,0.2196,0.2594
2018,Governor,FL,10/28/2018,Ron DeSantis,0.1703,0.2176,0.2596
2018,Governor,FL,10/27/2018,Ron DeSantis,0.167,0.2136,0.2542
2018,Governor,FL,10/26/2018,Ron DeSantis,0.1706,0.2173,0.2564
2018,Governor,FL,10/25/2018,Ron DeSantis,0.1542,0.2009,0.2435
2018,Governor,FL,10/24/2018,Ron DeSantis,0.1507,0.2003,0.2397
2018,Governor,FL,10/23/2018,Ron DeSantis,0.1732,0.2184,0.2548
2018,Governor,FL,10/22/2018,Ron DeSantis,0.1699,0.2142,0.2481
2018,Governor,FL,10/21/2018,Ron DeSantis,0.1838,0.2233,0.2581
2018,Governor,FL,10/20/2018,Ron DeSantis,0.2503,0.2842,0.3016
2018,Governor,FL,10/19/2018,Ron DeSantis,0.2553,0.2879,0.3046
2018,Governor,FL,10/18/2018,Ron DeSantis,0.2598,0.2926,0.3094
2018,Governor,FL,10/17/2018,Ron DeSantis,0.2686,0.2992,0.3128
2018,Governor,FL,10/16/2018,Ron DeSantis,0.2452,0.2822,0.2989
2018,Governor,FL,10/13/2018,Ron DeSantis,0.2548,0.2924,0.3104
2018,Governor,FL,10/12/2018,Ron DeSantis,0.2508,0.288,0.3078
2018,Governor,FL,10/11/2018,Ron DeSantis,0.2547,0.2956,0.3148
2018,Governor,GA,11/6/2018,Brian Kemp,0.6788,0.6776,0.6591
2018,Governor,GA,11/5/2018,Brian Kemp,0.6816,0.6786,0.6609
2018,Governor,GA,11/4/2018,Brian Kemp,0.7008,0.6958,0.6698
2018,Governor,GA,11/3/2018,Brian Kemp,0.5677,0.5824,0.59
2018,Governor,GA,11/2/2018,Brian Kemp,0.5707,0.5734,0.5858
2018,Governor,GA,11/1/2018,Brian Kemp,0.5513,0.5573,0.5735
2018,Governor,GA,10/31/2018,Brian Kemp,0.5681,0.5723,0.5818
2018,Governor,GA,10/30/2018,Brian Kemp,0.5601,0.564,0.5723
2018,Governor,GA,10/29/2018,Brian Kemp,0.5753,0.5761,0.5794
2018,Governor,GA,10/28/2018,Brian Kemp,0.5771,0.5785,0.5828
2018,Governor,GA,10/27/2018,Brian Kemp,0.5775,0.5811,0.5851
2018,Governor,GA,10/26/2018,Brian Kemp,0.5753,0.579,0.5808
2018,Governor,GA,10/25/2018,Brian Kemp,0.5732,0.5779,0.5788
2018,Governor,GA,10/24/2018,Brian Kemp,0.5725,0.5756,0.5746
2018,Governor,GA,10/23/2018,Brian Kemp,0.5509,0.5543,0.5578
2018,Governor,GA,10/22/2018,Brian Kemp,0.5473,0.5555,0.5576
2018,Governor,GA,10/21/2018,Brian Kemp,0.5594,0.5632,0.5654
2018,Governor,GA,10/20/2018,Brian Kemp,0.5604,0.5672,0.5684
2018,Governor,GA,10/19/2018,Brian Kemp,0.5628,0.5685,0.5696
2018,Governor,GA,10/18/2018,Brian Kemp,0.5615,0.5669,0.5667
2018,Governor,GA,10/17/2018,Brian Kemp,0.5616,0.5639,0.5644
2018,Governor,GA,10/16/2018,Brian Kemp,0.534,0.5609,0.5621
2018,Governor,GA,10/13/2018,Brian Kemp,0.5493,0.5738,0.5771
2018,Governor,GA,10/12/2018,Brian Kemp,0.5463,0.5708,0.5751
2018,Governor,GA,10/11/2018,Brian Kemp,0.5414,0.5665,0.5707
2018,Governor,HI,11/6/2018,Andria Tupola,0.0097,0.0015,0.0011
2018,Governor,HI,11/5/2018,Andria Tupola,0.0102,0.0015,0.0011
2018,Governor,HI,11/4/2018,Andria Tupola,0.01,0.0014,0.001
2018,Governor,HI,11/3/2018,Andria Tupola,0.0103,0.0017,0.0012
2018,Governor,HI,11/2/2018,Andria Tupola,0.0105,0.0013,0.001
2018,Governor,HI,11/1/2018,Andria Tupola,0.0103,0.0016,0.0013
2018,Governor,HI,10/31/2018,Andria Tupola,0.012,0.0016,0.0012
2018,Governor,HI,10/30/2018,Andria Tupola,0.0118,0.0017,0.0012
2018,Governor,HI,10/29/2018,Andria Tupola,0.0114,0.0019,0.0015
2018,Governor,HI,10/28/2018,Andria Tupola,0.0109,0.0017,0.0012
2018,Governor,HI,10/27/2018,Andria Tupola,0.0119,0.0019,0.0014
2018,Governor,HI,10/26/2018,Andria Tupola,0.0116,0.0018,0.0013
2018,Governor,HI,10/25/2018,Andria Tupola,0.0114,0.0017,0.0011
2018,Governor,HI,10/24/2018,Andria Tupola,0.0111,0.0017,0.0011
2018,Governor,HI,10/23/2018,Andria Tupola,0.011,0.0018,0.0014
2018,Governor,HI,10/22/2018,Andria Tupola,0.0107,0.0019,0.0012
2018,Governor,HI,10/21/2018,Andria Tupola,0.0116,0.0018,0.0012
2018,Governor,HI,10/20/2018,Andria Tupola,0.0119,0.0019,0.0012
2018,Governor,HI,10/19/2018,Andria Tupola,0.0118,0.0019,0.0013
2018,Governor,HI,10/18/2018,Andria Tupola,0.0108,0.002,0.0015
2018,Governor,HI,10/17/2018,Andria Tupola,0.0153,0.0012,0.0008
2018,Governor,HI,10/16/2018,Andria Tupola,0.0145,0.0011,0.0008
2018,Governor,HI,10/13/2018,Andria Tupola,0.0152,0.0012,0.0009
2018,Governor,HI,10/12/2018,Andria Tupola,0.0148,0.0013,0.001
2018,Governor,HI,10/11/2018,Andria Tupola,0.0162,0.0012,0.001
2018,Governor,IA,11/6/2018,Kim Reynolds,0.4222,0.4268,0.3638
2018,Governor,IA,11/5/2018,Kim Reynolds,0.4324,0.4388,0.3695
2018,Governor,IA,11/4/2018,Kim Reynolds,0.4764,0.4763,0.4442
2018,Governor,IA,11/3/2018,Kim Reynolds,0.4729,0.4724,0.4389
2018,Governor,IA,11/2/2018,Kim Reynolds,0.6122,0.3906,0.3904
2018,Governor,IA,11/1/2018,Kim Reynolds,0.2765,0.1578,0.2221
2018,Governor,IA,10/31/2018,Kim Reynolds,0.27,0.1555,0.2364
2018,Governor,IA,10/30/2018,Kim Reynolds,0.2703,0.1535,0.2369
2018,Governor,IA,10/29/2018,Kim Reynolds,0.268,0.1514,0.2344
2018,Governor,IA,10/28/2018,Kim Reynolds,0.2828,0.158,0.243
2018,Governor,IA,10/27/2018,Kim Reynolds,0.2822,0.1603,0.2413
2018,Governor,IA,10/26/2018,Kim Reynolds,0.2789,0.1568,0.2388
2018,Governor,IA,10/25/2018,Kim Reynolds,0.2827,0.1622,0.2397
2018,Governor,IA,10/24/2018,Kim Reynolds,0.2807,0.1587,0.2402
2018,Governor,IA,10/23/2018,Kim Reynolds,0.2547,0.1464,0.2259
2018,Governor,IA,10/22/2018,Kim Reynolds,0.2525,0.1441,0.224
2018,Governor,IA,10/21/2018,Kim Reynolds,0.2583,0.1476,0.2282
2018,Governor,IA,10/20/2018,Kim Reynolds,0.2606,0.148,0.2301
2018,Governor,IA,10/19/2018,Kim Reynolds,0.2667,0.1519,0.2349
2018,Governor,IA,10/18/2018,Kim Reynolds,0.2659,0.154,0.2342
2018,Governor,IA,10/17/2018,Kim Reynolds,0.2593,0.1498,0.2286
2018,Governor,IA,10/16/2018,Kim Reynolds,0.2633,0.1526,0.2312
2018,Governor,IA,10/13/2018,Kim Reynolds,0.2877,0.1661,0.2475
2018,Governor,IA,10/12/2018,Kim Reynolds,0.285,0.1629,0.2449
2018,Governor,IA,10/11/2018,Kim Reynolds,0.2854,0.1663,0.2481
2018,Governor,ID,11/6/2018,Brad Little,0.9328,0.9826,0.9891
2018,Governor,ID,11/5/2018,Brad Little,0.9331,0.9817,0.9884
2018,Governor,ID,11/4/2018,Brad Little,0.8158,0.9515,0.9716
2018,Governor,ID,11/3/2018,Brad Little,0.825,0.9528,0.9717
2018,Governor,ID,11/2/2018,Brad Little,0.8276,0.9501,0.971
2018,Governor,ID,11/1/2018,Brad Little,0.8232,0.9492,0.9708
2018,Governor,ID,10/31/2018,Brad Little,0.8324,0.9505,0.9712
2018,Governor,ID,10/30/2018,Brad Little,0.8223,0.9477,0.9696
2018,Governor,ID,10/29/2018,Brad Little,0.8301,0.9489,0.9706
2018,Governor,ID,10/28/2018,Brad Little,0.8371,0.9503,0.9712
2018,Governor,ID,10/27/2018,Brad Little,0.8397,0.9491,0.9702
2018,Governor,ID,10/26/2018,Brad Little,0.8411,0.9505,0.9711
2018,Governor,ID,10/25/2018,Brad Little,0.8395,0.9523,0.9712
2018,Governor,ID,10/24/2018,Brad Little,0.8407,0.95,0.9702
2018,Governor,ID,10/23/2018,Brad Little,0.8312,0.9452,0.9672
2018,Governor,ID,10/22/2018,Brad Little,0.8293,0.9454,0.9679
2018,Governor,ID,10/21/2018,Brad Little,0.8498,0.9514,0.9714
2018,Governor,ID,10/20/2018,Brad Little,0.8554,0.9537,0.9726
2018,Governor,ID,10/19/2018,Brad Little,0.8564,0.9536,0.9718
2018,Governor,ID,10/18/2018,Brad Little,0.8551,0.9529,0.9715
2018,Governor,ID,10/17/2018,Brad Little,0.8529,0.9521,0.971
2018,Governor,ID,10/16/2018,Brad Little,0.8478,0.9514,0.9697
2018,Governor,ID,10/13/2018,Brad Little,0.845,0.954,0.9723
